country_code,quarter,gdp_index
SVN,2024-Q4,113.089770097
CHE,2024-Q4,107.519795505
SWE,2024-Q4,104.071312739
LUX,2024-Q4,118.235771834
DNK,2024-Q4,99.546772532
FIN,2024-Q4,98.948893306
ITA,2024-Q4,101.607404724
USMCA,2024-Q4,114.438939759
CRI,2024-Q4,114.233168819
FRA,2024-Q4,103.833214778
USA,2024-Q4,115.543882547
ITA,2025-Q1,101.802224738
CRI,2025-Q1,114.494115267
FRA,2025-Q1,103.564382939
FIN,2025-Q1,99.501398107
DNK,2025-Q1,100.333641074
SWE,2025-Q1,104.277991438
USMCA,2025-Q1,114.57681333400001
CZE,2025-Q1,98.442766289
CHE,2025-Q1,107.597322504
AUT,2025-Q1,103.444790725
IRL,2025-Q1,116.937046431
CHL,2025-Q1,115.478783979
NOR,2025-Q1,108.051587581
GBR,2025-Q1,100.875442715
LVA,2025-Q1,107.078029157
CAN,2025-Q1,109.923103097
COL,2025-Q1,124.746074022
POL,2025-Q1,111.667864443
OECD,2025-Q1,111.071669396
LTU,2025-Q1,110.702511563
NZL,2025-Q1,111.141490089
USA,2025-Q1,115.720183552
SVN,2025-Q1,112.902671851
NZL,2025-Q2,111.605311981
LTU,2025-Q2,112.311876447
OECD,2025-Q2,111.583997897
POL,2025-Q2,113.359615202
COL,2025-Q2,124.812819688
CAN,2025-Q2,111.109663536
LVA,2025-Q2,107.145077625
GBR,2025-Q2,100.999297296
NOR,2025-Q2,108.25464894699999
CHL,2025-Q2,116.52207632700001
IRL,2025-Q2,118.046779254
AUT,2025-Q2,103.715484886
CHE,2025-Q2,108.003779718
CZE,2025-Q2,99.50443669
SVN,2025-Q2,113.8020402
SWE,2025-Q2,104.732713202
DNK,2025-Q2,100.569859631
FIN,2025-Q2,98.214466193
ITA,2025-Q2,101.829104167
USMCA,2025-Q2,115.378739471
CRI,2025-Q2,115.639041592
FRA,2025-Q2,103.653051127
USA,2025-Q2,116.427369834
FRA,2025-Q3,103.762322337
CRI,2025-Q3,117.489224457
SVN,2025-Q3,113.678176671
AUT,2025-Q3,103.775896074
CHL,2025-Q3,116.835325623
GBR,2025-Q3,101.186371766
EU27_2020,2020-Q1,95.742228826
EA20,2020-Q1,95.217298764
SVK,2020-Q1,100.416372881
SVK,2020-Q2,96.034945793
EA20,2020-Q2,83.809779976
EU27_2020,2020-Q2,84.667674281
EU27_2020,2020-Q3,95.548934232
EA20,2020-Q3,95.353458374
SVK,2020-Q3,100.946565248
SVK,2020-Q4,99.802549656
EA20,2020-Q4,92.772124154
EU27_2020,2020-Q4,93.266484491
EU27_2020,2021-Q1,92.206676372
EA20,2021-Q1,91.352900294
SVK,2021-Q1,96.531892548
SVK,2021-Q2,103.14937477
EA20,2021-Q2,94.976360971
EU27_2020,2021-Q2,95.66037274
EU27_2020,2021-Q3,99.333291136
EA20,2021-Q3,98.744155546
SVK,2021-Q3,104.730238434
SVK,2021-Q4,104.844153222
EA20,2021-Q4,99.048799563
EU27_2020,2021-Q4,99.755506625
EU27_2020,2022-Q1,100.69225968
EA20,2022-Q1,100.124630584
SVK,2022-Q1,105.845465599
SVK,2022-Q2,107.176748921
EA20,2022-Q2,101.366910006
EU27_2020,2022-Q2,101.884874343
EU27_2020,2022-Q3,102.310952408
EA20,2022-Q3,101.974572158
SVK,2022-Q3,107.54563226
SVK,2022-Q4,109.07317832
EA20,2022-Q4,101.083156225
EU27_2020,2022-Q4,101.485308351
EU27_2020,2023-Q1,101.665994984
EA20,2023-Q1,101.495394891
SVK,2023-Q1,102.727701651
SVK,2023-Q2,103.794640206
EA20,2023-Q2,101.834830327
EU27_2020,2023-Q2,102.02363907
EU27_2020,2023-Q3,102.032790419
EA20,2023-Q3,101.721108579
SVK,2023-Q3,105.337947692
SVK,2023-Q4,105.82394942
EA20,2023-Q4,101.856797378
EU27_2020,2023-Q4,102.223231458
EU27_2020,2024-Q1,102.906524301
EA20,2024-Q1,102.450600019
SVK,2024-Q1,107.356150599
SVK,2024-Q2,107.516022772
EA20,2024-Q2,102.648384027
EU27_2020,2024-Q2,103.178330022
EU27_2020,2024-Q3,103.664651823
EA20,2024-Q3,103.171982121
SVK,2024-Q3,107.95635302
SVK,2024-Q4,108.831295418
EA20,2024-Q4,103.672071403
EU27_2020,2024-Q4,104.260260574
EU27_2020,2025-Q1,104.564774459
EA20,2025-Q1,103.945365171
SVK,2025-Q1,108.683695164
SVK,2025-Q2,109.49190441900001
EA20,2025-Q2,104.144745192
EU27_2020,2025-Q2,104.883036161
ISL,2020-Q1,100.584635293
EST,2020-Q1,102.216753667
AUS,2020-Q1,98.773010222
AUS,2020-Q2,86.289954604
EST,2020-Q2,91.555427025
ISL,2020-Q2,92.079547227
ISL,2020-Q3,99.897190119
